               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.011965,           0.0091889,           0.0020259,             0.96209,              0.9587,             0.97113,             0.83752,            0.014428,           0.0085415,           0.0048576,            0.004555,            0.004555,            0.004555
                  57,            0.011599,           0.0092085,           0.0023213,             0.95473,              0.9633,             0.96995,             0.83347,            0.014326,           0.0088809,           0.0044895,            0.004456,            0.004456,            0.004456
                  58,            0.011653,             0.00911,           0.0024777,             0.95832,             0.95225,              0.9656,             0.82245,            0.014908,           0.0089977,           0.0045414,            0.004357,            0.004357,            0.004357
                  59,            0.011462,           0.0090053,           0.0018824,             0.95412,             0.95408,             0.96906,             0.83082,            0.014663,           0.0086768,           0.0044368,            0.004258,            0.004258,            0.004258
                  60,            0.011574,           0.0088558,           0.0025374,             0.93456,             0.96789,             0.96791,             0.83423,            0.015198,           0.0089543,           0.0044925,            0.004159,            0.004159,            0.004159
                  61,            0.011264,           0.0089574,           0.0022694,             0.95807,             0.95413,             0.96834,             0.83761,            0.014443,            0.008863,           0.0043492,             0.00406,             0.00406,             0.00406
                  62,            0.011074,           0.0094301,           0.0021637,             0.94912,             0.96328,             0.96582,             0.83883,            0.013643,           0.0086965,           0.0042991,            0.003961,            0.003961,            0.003961
                  63,            0.010832,           0.0088025,           0.0022619,              0.9509,              0.9633,             0.96829,              0.8417,            0.013719,            0.009208,           0.0043966,            0.003862,            0.003862,            0.003862
                  64,            0.011144,           0.0089468,           0.0018804,             0.96098,             0.95409,             0.96723,             0.83591,            0.013474,           0.0090812,           0.0047429,            0.003763,            0.003763,            0.003763
                  65,            0.010879,           0.0091765,            0.001658,             0.96666,             0.94814,             0.96491,             0.83434,            0.013279,           0.0089115,           0.0053267,            0.003664,            0.003664,            0.003664
                  66,            0.010746,           0.0084093,           0.0021365,             0.96647,             0.94668,             0.96735,              0.8343,            0.014025,           0.0089245,           0.0049637,            0.003565,            0.003565,            0.003565
                  67,            0.010675,           0.0091974,           0.0022505,             0.97085,             0.94108,             0.96926,             0.83976,            0.013823,           0.0093041,           0.0047566,            0.003466,            0.003466,            0.003466
                  68,            0.010534,           0.0084547,           0.0017511,             0.96235,             0.94051,             0.96892,             0.83853,            0.014164,           0.0097121,           0.0051127,            0.003367,            0.003367,            0.003367
                  69,             0.01051,           0.0085631,            0.002239,             0.95244,             0.94954,             0.96622,             0.84112,            0.013293,           0.0089175,           0.0047364,            0.003268,            0.003268,            0.003268
                  70,             0.01004,           0.0083931,           0.0020804,             0.96042,             0.94951,             0.96768,             0.84279,            0.013532,           0.0088389,           0.0048721,            0.003169,            0.003169,            0.003169
                  71,           0.0097787,           0.0083334,           0.0018735,             0.96636,             0.94952,             0.97058,             0.83549,            0.013197,           0.0088183,           0.0046457,             0.00307,             0.00307,             0.00307
                  72,           0.0098602,           0.0082421,           0.0017186,             0.94818,              0.9633,             0.97411,             0.84129,             0.01321,           0.0091551,           0.0046588,            0.002971,            0.002971,            0.002971
                  73,           0.0095557,           0.0081027,           0.0017352,             0.96051,              0.9587,             0.97254,             0.83757,            0.013832,           0.0092108,           0.0044645,            0.002872,            0.002872,            0.002872
                  74,           0.0095287,           0.0087034,           0.0015418,             0.94731,             0.96789,               0.971,             0.83137,            0.013413,           0.0091102,           0.0045199,            0.002773,            0.002773,            0.002773
                  75,           0.0095057,           0.0082161,           0.0022252,                0.97,             0.94492,             0.97208,             0.84351,            0.013163,           0.0097417,           0.0048826,            0.002674,            0.002674,            0.002674
