               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.018365,            0.014026,                   0,             0.66965,             0.55906,             0.57502,             0.40997,            0.025388,             0.02075,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.017002,            0.014743,                   0,             0.70098,             0.53543,             0.60015,             0.42961,            0.025688,            0.020265,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.016744,            0.013507,                   0,             0.69376,             0.53543,             0.58192,             0.40727,             0.02546,            0.020841,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.016792,            0.014144,                   0,             0.48209,               0.645,             0.52518,             0.37838,            0.025263,            0.021899,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.017187,            0.013239,                   0,             0.62255,              0.5748,             0.55296,             0.39729,            0.025128,            0.021536,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.016757,            0.013737,                   0,             0.67642,             0.54319,             0.57426,             0.40133,             0.02587,            0.021315,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.016311,            0.012939,                   0,             0.66967,              0.5748,             0.57199,              0.4046,            0.026708,            0.020928,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.015474,            0.012952,                   0,             0.59122,              0.6378,             0.57959,             0.41956,            0.025776,            0.020473,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.016638,            0.014259,                   0,             0.64064,             0.59055,             0.58153,             0.42071,            0.024851,            0.020522,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.015938,            0.012868,                   0,             0.66032,             0.56693,             0.59374,             0.42781,            0.025696,            0.020824,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.016192,            0.012583,                   0,             0.56178,              0.6378,             0.57797,             0.41416,            0.025741,            0.021063,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.016438,            0.013532,                   0,              0.5353,             0.64567,             0.56971,             0.41489,            0.025363,            0.021192,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.015883,            0.012846,                   0,             0.61595,             0.60616,             0.58365,             0.43142,            0.025114,            0.020901,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.016065,            0.014071,                   0,             0.59682,              0.6061,              0.5956,             0.43495,            0.025132,            0.020691,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.015005,            0.012176,                   0,             0.52137,             0.66142,             0.57731,             0.42424,            0.025661,            0.021142,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.014788,            0.012527,                   0,             0.57453,              0.6063,               0.576,             0.42286,            0.025152,            0.021563,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.015211,            0.013002,                   0,             0.59367,             0.59822,             0.56706,             0.41025,            0.025356,            0.021666,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.015809,            0.012622,                   0,             0.60767,             0.59843,             0.57641,              0.4176,            0.025295,            0.021388,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.015372,            0.012223,                   0,             0.56544,             0.64548,             0.58578,             0.42172,            0.025844,            0.021021,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.015334,            0.012773,                   0,             0.59832,             0.62162,             0.59234,             0.42324,            0.025666,            0.021169,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.015593,            0.012175,                   0,             0.66348,              0.5748,             0.58864,             0.42381,            0.025241,            0.021237,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.014996,            0.012167,                   0,             0.62927,              0.5747,             0.57873,             0.41835,            0.024956,            0.021017,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.015467,            0.013155,                   0,             0.65738,             0.55906,             0.58729,             0.41842,            0.025116,            0.020994,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.015009,            0.011752,                   0,             0.66037,             0.56693,             0.58572,              0.4133,            0.025247,             0.02112,                   0,            0.000298,            0.000298,            0.000298
