               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.020449,           0.0051853,                   0,             0.90458,             0.84061,             0.87643,             0.59216,             0.02654,           0.0064492,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.020002,           0.0054223,                   0,             0.90738,             0.83549,             0.87758,             0.60036,            0.026294,           0.0062944,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.019842,            0.005099,                   0,             0.90141,             0.83723,             0.87991,             0.57738,            0.026824,           0.0064155,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.019626,           0.0050483,                   0,             0.89066,             0.83825,             0.87912,             0.58819,            0.026765,           0.0064684,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.020188,           0.0049673,                   0,             0.89974,              0.8286,             0.87413,             0.59324,            0.026522,           0.0064255,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.019468,           0.0051141,                   0,             0.91418,             0.81443,             0.87258,             0.59331,            0.027003,           0.0066063,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.019055,           0.0051731,                   0,             0.90365,             0.83096,             0.87289,             0.58801,            0.026706,            0.006671,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.018928,           0.0050833,                   0,             0.91479,             0.83085,             0.87853,             0.59632,             0.02626,           0.0064637,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.018535,           0.0049949,                   0,             0.91597,             0.82114,             0.87825,             0.59543,             0.02636,           0.0063086,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.018877,           0.0050207,                   0,             0.91683,             0.83011,             0.87121,             0.59248,            0.026525,           0.0064587,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.018535,            0.005049,                   0,             0.91877,              0.8179,              0.8748,             0.59315,            0.026499,           0.0066985,                   0,            0.003763,            0.003763,            0.003763
                  65,              0.0181,             0.00513,                   0,             0.89908,             0.84371,             0.88136,             0.59631,            0.026434,           0.0064201,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.018161,           0.0049608,                   0,             0.89668,              0.8427,             0.87904,             0.59548,            0.026732,           0.0065627,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.01769,           0.0048641,                   0,             0.91383,             0.82161,             0.87608,             0.59874,            0.026624,           0.0066219,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.017495,           0.0048911,                   0,             0.89553,             0.83974,             0.88229,             0.60148,             0.02641,           0.0064673,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.016985,           0.0047562,                   0,             0.90015,             0.84435,             0.88126,             0.60277,            0.026451,           0.0063783,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.017046,             0.00487,                   0,             0.89832,             0.82622,              0.8782,             0.59499,            0.026186,            0.006535,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.017198,           0.0045989,                   0,             0.93941,             0.80714,             0.87646,             0.59843,            0.026532,           0.0065949,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.016738,           0.0046943,                   0,             0.91009,              0.8341,             0.88342,             0.60299,            0.025812,           0.0064461,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.016823,            0.004717,                   0,             0.92473,             0.83655,             0.88393,             0.60051,            0.026158,           0.0063829,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.016848,           0.0045877,                   0,             0.93421,             0.82317,             0.88204,             0.60723,            0.025785,            0.006466,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.01624,           0.0046724,                   0,             0.91275,             0.82922,             0.88254,             0.60609,             0.02604,           0.0066029,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.01655,           0.0045586,                   0,             0.92059,             0.82604,             0.88246,             0.60382,            0.026345,             0.00652,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.016664,           0.0045872,                   0,             0.91102,             0.82234,             0.88016,             0.60905,            0.026055,           0.0064965,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.016194,           0.0045417,                   0,             0.91504,             0.83418,             0.88295,             0.60283,             0.02631,           0.0064683,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.015578,           0.0046302,                   0,             0.91949,             0.83739,             0.88354,             0.60483,            0.026253,           0.0065328,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.015534,           0.0043559,                   0,             0.89628,             0.85102,             0.88699,             0.60469,            0.025976,           0.0065724,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.015786,            0.004428,                   0,             0.91139,             0.83809,             0.88494,             0.60793,            0.025558,           0.0063973,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.015472,            0.004333,                   0,               0.933,             0.82618,             0.88655,             0.60732,            0.025954,           0.0065597,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.015103,           0.0041878,                   0,             0.94787,             0.81713,             0.88526,             0.61184,            0.025958,           0.0066858,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.015355,           0.0041677,                   0,              0.9565,             0.80918,             0.88648,             0.61587,            0.025693,           0.0065472,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.014764,           0.0042305,                   0,             0.92516,             0.83282,             0.88764,             0.60554,            0.025952,           0.0066334,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.014799,           0.0043861,                   0,             0.91479,             0.83172,             0.88486,             0.60591,             0.02612,           0.0066682,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.014589,           0.0041846,                   0,             0.93978,             0.81134,             0.88231,             0.60878,            0.025912,           0.0065931,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01442,           0.0043162,                   0,             0.94534,             0.81142,             0.88962,             0.61045,            0.025851,           0.0065873,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.014135,           0.0043385,                   0,             0.92545,             0.82383,             0.88764,             0.60785,            0.026034,           0.0066894,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.013931,            0.004118,                   0,             0.91985,             0.82994,              0.8855,             0.61436,            0.025649,           0.0065736,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.013753,           0.0041312,                   0,             0.92281,             0.82864,             0.88426,             0.61362,            0.025776,           0.0066067,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.013515,           0.0042321,                   0,             0.92156,             0.82892,             0.88551,              0.6147,            0.025671,           0.0065998,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.013714,           0.0042236,                   0,             0.92676,             0.82671,              0.8887,             0.61372,            0.025601,           0.0066729,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.013296,           0.0041312,                   0,             0.91797,             0.83194,             0.88583,             0.61536,            0.025623,           0.0066821,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.013768,           0.0041482,                   0,             0.92596,              0.8304,             0.89166,             0.62105,            0.025399,           0.0066563,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.013461,           0.0039013,                   0,             0.92004,             0.83357,             0.88758,              0.6195,             0.02549,           0.0066915,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.013053,           0.0040676,                   0,             0.91797,             0.83367,             0.88874,             0.62009,            0.025473,           0.0066729,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.012998,           0.0040093,                   0,             0.91599,             0.83384,             0.88904,             0.61882,             0.02539,           0.0066504,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.012946,           0.0041187,                   0,             0.91618,             0.83673,             0.88863,             0.61796,            0.025413,           0.0066472,                   0,            0.000298,            0.000298,            0.000298
